username,date,text,cleaned_text,lemmantized_text
CollinRugg,2023-09-29 14:49:12+00:00,BREAKING: Senator Dianne Feinstein has died at the age of 90. https://t.co/PWFmowW5lu,senator dianne feinstein died age,senator dianne feinstein died age
CollinRugg,2023-09-29 03:16:21+00:00,"JUST IN: Alexandria Ocasio Cortez has posted on X about how upset she is that Elon Musk visited the southern border to examine the migrant crisis. Why is AOC so obsessed with Elon? Instead of working to fix the migrant crisis, AOC whined about Musk taking a “joyride” with Republican Rep. Tony Gonzalez. “The House is holding important votes in DC tonight, people are scrambling to avoid a shutdown, but this Republican Congressman decided to skip town to joyride with a billionaire when his own party has just a single-digit margin and needs his vote.” Imagine if she cared this much about securing the border!",alexandria ocasio cortez posted upset elon musk visited southern border examine migrant crisis aoc obsessed elon instead working fix migrant crisis aoc whined musk taking joyride republican rep tony gonzalez house holding important votes dc tonight people scrambling avoid shutdown republican congressman decided skip town joyride billionaire party singledigit margin needs vote imagine cared much securing border,alexandria ocasio cortez posted upset elon musk visited southern border examine migrant crisis aoc obsessed elon instead working fix migrant crisis aoc whined musk taking joyride republican rep tony gonzalez house holding important vote dc tonight people scrambling avoid shutdown republican congressman decided skip town joyride billionaire party singledigit margin need vote imagine cared much securing border
CollinRugg,2023-09-29 01:58:39+00:00,"REPORT: A 34 year old migrant allegedly mol*sted a 7 year old girl at knifepoint in a migrant shelter in NYC. How many stories like this need to happen before Washington wakes up? Around 9:30PM on Wednesday, a girl & her twin sister were playing in the hallway at a shelter when a man lured them into his room. The migrant then placed the knife next to the girl’s neck and groped her. The mom knocked on the door and the migrant jumped out the window. He then walked to the front of the building where the girl’s brother was waiting and a fight broke out. Get used to these stories…",year old migrant allegedly molsted year old girl knifepoint migrant shelter nyc many stories like need happen washington wakes around wednesday girl twin sister playing hallway shelter man lured room migrant placed knife next girls neck groped mom knocked door migrant jumped window walked front building girls brother waiting fight broke get used stories,year old migrant allegedly molsted year old girl knifepoint migrant shelter nyc many story like need happen washington wake around wednesday girl twin sister playing hallway shelter man lured room migrant placed knife next girl neck groped mom knocked door migrant jumped window walked front building girl brother waiting fight broke get used story
CollinRugg,2023-09-29 00:08:26+00:00,"NEW: Far-left NYC professor who pulled out a machete on a reporter just landed a new job Back in May, Shellyne Rodriguez, who worked at Hunter College, held a machete to a NY Post reporter's neck & threatened to ""chop"" him up. Students at Cooper Union are now freaking out after the school decided to hire Rodriguez despite her history of violence. ""I would not feel safe with that person being my professor,"" said one student to the NY Post. Rodriguez, who is open about her Marxist beliefs, also went viral in May for cursing and vandalizing a pro-life student’s display at a college event. Why does the left always get rewarded for violence?",farleft nyc professor pulled machete reporter landed job back may shellyne rodriguez worked hunter college held machete ny post reporters neck threatened chop students cooper union freaking school decided hire rodriguez despite history violence would feel safe person professor said one student ny post rodriguez open marxist beliefs also went viral may cursing vandalizing prolife students display college event left always get rewarded violence,farleft nyc professor pulled machete reporter landed job back may shellyne rodriguez worked hunter college held machete ny post reporter neck threatened chop student cooper union freaking school decided hire rodriguez despite history violence would feel safe person professor said one student ny post rodriguez open marxist belief also went viral may cursing vandalizing prolife student display college event left always get rewarded violence
CollinRugg,2023-09-28 19:29:27+00:00,"JUST IN: A clearly flustered AOC says it is a waste of time for the House to investigate Joe Biden for exchanging influence for money that, according to his own son, he was paid ""half his salary"" for. Socialists just love corruption, don't they? ""This impeachment inquiry is an embarrassment to the time and people of this country."" In a text from 2019, Hunter Biden said that he was forced to pay half his salary to his father Joe Biden for money that was made overseas. ""I hope you all can do what I did and pay for everything for this entire family for 30 years. It's really hard. But don’t worry unlike Pop I won’t make you give me half your salary,” Hunter Biden said.",clearly flustered aoc says waste time house investigate joe biden exchanging influence money according son paid half salary socialists love corruption impeachment inquiry embarrassment time people country text hunter biden said forced pay half salary father joe biden money made overseas hope pay everything entire family years really hard worry unlike pop make give half salary hunter biden said,clearly flustered aoc say waste time house investigate joe biden exchanging influence money according son paid half salary socialist love corruption impeachment inquiry embarrassment time people country text hunter biden said forced pay half salary father joe biden money made overseas hope pay everything entire family year really hard worry unlike pop make give half salary hunter biden said
CollinRugg,2023-09-28 18:04:37+00:00,"This week, Gavin Newsom sat down with 60 Minutes, showed up to the GOP debate, dismissed it as a VP debate, called DeSantis a fool for accepting his debate offer, then stole the show with a post debate interview with Fox Host Sean Hannity. I don't know who needs to hear this but Gavin Newsom is running, most likely in 2024.",week gavin newsom sat minutes showed gop debate dismissed vp debate called desantis fool accepting debate offer stole show post debate interview fox host sean hannity know needs hear gavin newsom running likely,week gavin newsom sat minute showed gop debate dismissed vp debate called desantis fool accepting debate offer stole show post debate interview fox host sean hannity know need hear gavin newsom running likely
CollinRugg,2023-09-28 15:35:35+00:00,"NEW: Elon Musk says America needs a wall in a post on X and calls on the US to make “asylum seekers” prove they are truly seeking asylum. Why are our politicians so afraid to say this out loud? “We actually do need a wall and we need to require people to have some shred of evidence to claim asylum to enter, as everyone is doing that. It’s a hack that you can literally Google to know exactly what to say!” To date, 2,388,350 illegals have crossed over the border this year, already surpassing last year’s total. Drug trafficking, child trafficking, illegal crossings and our government couldn’t care less. Video: @GriffJenkins",elon musk says america needs wall post calls us make asylum seekers prove truly seeking asylum politicians afraid say loud actually need wall need require people shred evidence claim asylum enter everyone hack literally google know exactly say date illegals crossed border year already surpassing last years total drug trafficking child trafficking illegal crossings government could care less video,elon musk say america need wall post call u make asylum seeker prove truly seeking asylum politician afraid say loud actually need wall need require people shred evidence claim asylum enter everyone hack literally google know exactly say date illegals crossed border year already surpassing last year total drug trafficking child trafficking illegal crossing government could care le video
CollinRugg,2023-09-28 05:03:23+00:00,"NEW: Vivek Ramaswamy calls transgenderism in children a mental disorder and calls for parents to get their rights back. 🔥🔥 He even went as far to say “affirming” kids’ genders was cruel. “I have to be very clear about this. Transgenderism, especially in kids, is a mental health disorder.“ “I'm sorry, it is not compassionate to affirm a kid's confusion. That is not compassion, that is cruelty.”",vivek ramaswamy calls transgenderism children mental disorder calls parents get rights back even went far say affirming kids genders cruel clear transgenderism especially kids mental health disorder sorry compassionate affirm kids confusion compassion cruelty,vivek ramaswamy call transgenderism child mental disorder call parent get right back even went far say affirming kid gender cruel clear transgenderism especially kid mental health disorder sorry compassionate affirm kid confusion compassion cruelty
CollinRugg,2023-09-28 03:40:01+00:00,"BREAKING: Vivek Ramaswamy calls for the end of birthright citizenship for kids who were born in the US with parents who illegally entered the country. Wow 🔥 “I favor ending birthright citizenship for the kids of illegal immigrants in this country.” “Now, the left will howl about the Constitution and the 14th Amendment. The difference between me and them is I've actually read the 14th Amendment.” “What it says is that all persons born or naturalized in the United States and subject to the laws and jurisdiction thereof are citizens. So nobody believes that the kid of a Mexican diplomat in this country enjoys birthright citizenship.”",vivek ramaswamy calls end birthright citizenship kids born us parents illegally entered country wow favor ending birthright citizenship kids illegal immigrants country left howl constitution th amendment difference actually read th amendment says persons born naturalized united states subject laws jurisdiction thereof citizens nobody believes kid mexican diplomat country enjoys birthright citizenship,vivek ramaswamy call end birthright citizenship kid born u parent illegally entered country wow favor ending birthright citizenship kid illegal immigrant country left howl constitution th amendment difference actually read th amendment say person born naturalized united state subject law jurisdiction thereof citizen nobody belief kid mexican diplomat country enjoys birthright citizenship
CollinRugg,2023-09-28 01:39:24+00:00,"The scene in Michigan as residents await for Donald Trump. The biggest modern mystery is how Trump, someone who gets a welcome like this everywhere he goes and won 80% of bellwether counties, lost to someone who couldn’t get 100 people to a rally. https://t.co/08FAvRca88",scene michigan residents await donald trump biggest modern mystery trump someone gets welcome like everywhere goes bellwether counties lost someone could get people rally,scene michigan resident await donald trump biggest modern mystery trump someone get welcome like everywhere go bellwether county lost someone could get people rally
