username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,emotion,emotion_prob,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
POTUS,2023-07-12 22:35:00+00:00,2,War,0.60209006,negative,0.7314882874488831,anger,0.3817475140094757,5.0,Border/community/family,0.35616553,"Even after all of this time, Putin doubts our staying power. He’s making his bad bet that the unity among the U.S. and our Allies and partners will break down. He doesn’t understand that our commitment to freedom is something we will never walk away from – it's who we are.",time putin doubt staying power  making bad bet unity  ally partner break understand commitment freedom walk away,"[('putin', [2, 5]), ('freedom', [5, 2]), ('making', [2, 5]), ('time', [2, 5]), ('power', [2, 5]), ('away', [2, 5]), ('break', [5]), ('partner', [5]), ('bad', [2, 5]), ('bet', [2]), ('understand', [2, 5]), ('ally', [2, 5]), ('doubt', [2, 5]), ('walk', [2, 5]), ('commitment', [5]), ('staying', [2]), ('unity', [2, 5])]","[('putin', ['War', 'Border/community/family']), ('freedom', ['Border/community/family', 'War']), ('making', ['War', 'Border/community/family']), ('time', ['War', 'Border/community/family']), ('power', ['War', 'Border/community/family']), ('away', ['War', 'Border/community/family']), ('break', ['Border/community/family']), ('partner', ['Border/community/family']), ('bad', ['War', 'Border/community/family']), ('bet', ['War']), ('understand', ['War', 'Border/community/family']), ('ally', ['War', 'Border/community/family']), ('doubt', ['War', 'Border/community/family']), ('walk', ['War', 'Border/community/family']), ('commitment', ['Border/community/family']), ('staying', ['War']), ('unity', ['War', 'Border/community/family'])]"
POTUS,2023-07-12 23:50:02+00:00,2,War,0.6985038,negative,0.8911716938018799,anger,0.4674953818321228,8.0,Infrastructure/job/energy,0.17339088,"When Putin – with his craven lust for land and power – unleashed his brutal war on Ukraine, he was betting NATO would break apart. He thought our unity would shatter at the first testing. He thought democratic leaders would be weak. But he thought wrong. https://t.co/7QQdF3tkLO",putin craven lust land power unleashed brutal war ukraine betting nato break apart thought unity shatter testing thought democratic leader weak thought wrong,"[('putin', [2, 5]), ('testing', [2, 8]), ('war', [2, 5]), ('ukraine', [2, 5]), ('thought', [2, 5]), ('power', [2, 8]), ('break', [5, 8]), ('land', [8, 5]), ('leader', [2, 8]), ('democratic', [2, 8]), ('apart', [2, 5]), ('weak', [2]), ('wrong', [2, 8]), ('unleashed', [8, 5]), ('brutal', [2, 5]), ('nato', [2, 5]), ('unity', [2, 5]), ('craven', [2]), ('betting', [8]), ('lust', [2]), ('shatter', [2])]","[('putin', ['War', 'Border/community/family']), ('testing', ['War', 'Infrastructure/job/energy']), ('war', ['War', 'Border/community/family']), ('ukraine', ['War', 'Border/community/family']), ('thought', ['War', 'Border/community/family']), ('power', ['War', 'Infrastructure/job/energy']), ('break', ['Border/community/family', 'Infrastructure/job/energy']), ('land', ['Infrastructure/job/energy', 'Border/community/family']), ('leader', ['War', 'Infrastructure/job/energy']), ('democratic', ['War', 'Infrastructure/job/energy']), ('apart', ['War', 'Border/community/family']), ('weak', ['War']), ('wrong', ['War', 'Infrastructure/job/energy']), ('unleashed', ['Infrastructure/job/energy', 'Border/community/family']), ('brutal', ['War', 'Border/community/family']), ('nato', ['War', 'Border/community/family']), ('unity', ['War', 'Border/community/family']), ('craven', ['War']), ('betting', ['Infrastructure/job/energy']), ('lust', ['War']), ('shatter', ['War'])]"
POTUS,2023-10-20 05:15:00+00:00,2,War,0.9270208,negative,0.9340510368347168,anger,0.765047013759613,6.0,Election/debate,0.010432375,We cannot and will not let terrorists like Hamas and tyrants like Putin win. I refuse to let that happen. https://t.co/Ywjviuw3gF,let terrorist like hamas tyrant like putin win refuse let happen,"[('putin', [2]), ('terrorist', [2]), ('hamas', [2]), ('let', [2]), ('like', [2]), ('happen', [2]), ('win', [2]), ('refuse', [2]), ('tyrant', [2])]","[('putin', ['War']), ('terrorist', ['War']), ('hamas', ['War']), ('let', ['War']), ('like', ['War']), ('happen', ['War']), ('win', ['War']), ('refuse', ['War']), ('tyrant', ['War'])]"
POTUS,2023-09-22 02:45:30+00:00,2,War,0.54525596,neutral,0.6192779541015625,anger,0.5359718203544617,5.0,Border/community/family,0.3379326,"The United States' commitment to Ukraine will not weaken. Putin may still wrongly believe that he can outlast Ukraine. Putin may doubt our staying power. He’s wrong. We will stand for liberty and freedom today, tomorrow, and for as long as it takes. https://t.co/k1m1BgggvT",united state commitment ukraine weaken putin wrongly believe outlast ukraine putin doubt staying power  wrong stand liberty freedom today tomorrow long take,"[('putin', [2, 5]), ('freedom', [5, 2]), ('state', [5, 2]), ('today', [5, 2]), ('united', [2, 5]), ('believe', [2, 4]), ('long', [2, 5]), ('ukraine', [2, 5]), ('power', [2, 5]), ('take', [5, 2]), ('stand', [2, 5]), ('liberty', [5, 2]), ('tomorrow', [5, 4]), ('doubt', [2, 5]), ('wrong', [2, 4]), ('commitment', [5, 4]), ('weaken', [2]), ('staying', [2]), ('outlast', [2]), ('wrongly', [4])]","[('putin', ['War', 'Border/community/family']), ('freedom', ['Border/community/family', 'War']), ('state', ['Border/community/family', 'War']), ('today', ['Border/community/family', 'War']), ('united', ['War', 'Border/community/family']), ('believe', ['War', 'Republicans vs democrats']), ('long', ['War', 'Border/community/family']), ('ukraine', ['War', 'Border/community/family']), ('power', ['War', 'Border/community/family']), ('take', ['Border/community/family', 'War']), ('stand', ['War', 'Border/community/family']), ('liberty', ['Border/community/family', 'War']), ('tomorrow', ['Border/community/family', 'Republicans vs democrats']), ('doubt', ['War', 'Border/community/family']), ('wrong', ['War', 'Republicans vs democrats']), ('commitment', ['Border/community/family', 'Republicans vs democrats']), ('weaken', ['War']), ('staying', ['War']), ('outlast', ['War']), ('wrongly', ['Republicans vs democrats'])]"
POTUS,2023-10-19 21:42:59+00:00,2,War,0.60314137,negative,0.5986146330833435,fear,0.5615214109420776,4.0,Republicans vs democrats,0.24060091,"Hamas’s terrorist attacks against Israel. The need for humanitarian assistance in Gaza. Russia’s ongoing brutal war against Ukraine. We are at a global inflection point that is bigger than party or politics. Tonight, I'll address the nation at 8:00 PM ET from the Oval Office.",hamas terrorist attack israel need humanitarian assistance gaza russia ongoing brutal war ukraine global inflection point bigger party politics tonight address nation   oval office,"[('russia', [2, 4]), ('attack', [2, 4]), ('war', [2, 4]), ('gaza', [2]), ('terrorist', [2, 4]), ('israel', [2, 4]), ('office', [4, 1]), ('hamas', [2, 4]), ('ukraine', [2, 4]), ('need', [2, 1]), ('point', [2, 4]), ('party', [2, 4]), ('tonight', [2, 4]), ('address', [1, 4]), ('politics', [2, 4]), ('global', [2, 1]), ('nation', [2, 1]), ('ongoing', [4, 1]), ('assistance', [1, 2]), ('brutal', [2, 4]), ('bigger', [2, 4]), ('humanitarian', [2]), ('inflection', [4]), ('oval', [4])]","[('russia', ['War', 'Republicans vs democrats']), ('attack', ['War', 'Republicans vs democrats']), ('war', ['War', 'Republicans vs democrats']), ('gaza', ['War']), ('terrorist', ['War', 'Republicans vs democrats']), ('israel', ['War', 'Republicans vs democrats']), ('office', ['Republicans vs democrats', 'American/economics/health']), ('hamas', ['War', 'Republicans vs democrats']), ('ukraine', ['War', 'Republicans vs democrats']), ('need', ['War', 'American/economics/health']), ('point', ['War', 'Republicans vs democrats']), ('party', ['War', 'Republicans vs democrats']), ('tonight', ['War', 'Republicans vs democrats']), ('address', ['American/economics/health', 'Republicans vs democrats']), ('politics', ['War', 'Republicans vs democrats']), ('global', ['War', 'American/economics/health']), ('nation', ['War', 'American/economics/health']), ('ongoing', ['Republicans vs democrats', 'American/economics/health']), ('assistance', ['American/economics/health', 'War']), ('brutal', ['War', 'Republicans vs democrats']), ('bigger', ['War', 'Republicans vs democrats']), ('humanitarian', ['War']), ('inflection', ['Republicans vs democrats']), ('oval', ['Republicans vs democrats'])]"
POTUS,2023-10-18 16:02:52+00:00,2,War,0.45911875,neutral,0.6368878483772278,fear,0.6983883380889893,8.0,Infrastructure/job/energy,0.29501545,My team and I have touched down in Israel to stand in solidarity with the Israeli people following Hamas's terrorist attack. Join me as I address the people of Israel in Tel Aviv: https://t.co/LHTLwArx93,team touched israel stand solidarity israeli people following hamas  terrorist attack join address people israel tel aviv,"[('attack', [2, 6]), ('following', [6, 8]), ('terrorist', [2]), ('israel', [2]), ('israeli', [2]), ('hamas', [2]), ('people', [2, 6]), ('team', [6, 8]), ('address', [8, 6]), ('stand', [2, 8]), ('join', [6, 8]), ('solidarity', [8]), ('touched', [6]), ('aviv', [8]), ('tel', [8])]","[('attack', ['War', 'Election/debate']), ('following', ['Election/debate', 'Infrastructure/job/energy']), ('terrorist', ['War']), ('israel', ['War']), ('israeli', ['War']), ('hamas', ['War']), ('people', ['War', 'Election/debate']), ('team', ['Election/debate', 'Infrastructure/job/energy']), ('address', ['Infrastructure/job/energy', 'Election/debate']), ('stand', ['War', 'Infrastructure/job/energy']), ('join', ['Election/debate', 'Infrastructure/job/energy']), ('solidarity', ['Infrastructure/job/energy']), ('touched', ['Election/debate']), ('aviv', ['Infrastructure/job/energy']), ('tel', ['Infrastructure/job/energy'])]"
POTUS,2023-09-04 23:45:01+00:00,2,War,0.4997855,positive,0.432884931564331,joy,0.7681437134742737,8.0,Infrastructure/job/energy,0.43759203,There are a lot of politicians in this country who can’t say the word “Union.” I’m not one of them. I’m proud to be the most pro-union president in American history. https://t.co/1CLRR8zMqq,lot politician country word union proud pro union president american history,"[('american', [8, 2]), ('pro', [2, 8]), ('president', [2, 8]), ('country', [2, 8]), ('lot', [2]), ('proud', [8]), ('history', [8, 2]), ('union', [8, 2]), ('politician', [2]), ('word', [2])]","[('american', ['Infrastructure/job/energy', 'War']), ('pro', ['War', 'Infrastructure/job/energy']), ('president', ['War', 'Infrastructure/job/energy']), ('country', ['War', 'Infrastructure/job/energy']), ('lot', ['War']), ('proud', ['Infrastructure/job/energy']), ('history', ['Infrastructure/job/energy', 'War']), ('union', ['Infrastructure/job/energy', 'War']), ('politician', ['War']), ('word', ['War'])]"
POTUS,2023-07-22 02:35:00+00:00,2,War,0.51769453,positive,0.9623186588287354,joy,0.8175193667411804,4.0,Republicans vs democrats,0.2328667,"Megan and the entire @USWNT, the People's House is cheering you on. You've got this. https://t.co/lIXoTqbIyh",megan entire people  house cheering got,"[('people', [2, 4]), ('house', [4, 2]), ('got', [2, 4]), ('entire', [2, 4]), ('megan', [3]), ('cheering', [2])]","[('people', ['War', 'Republicans vs democrats']), ('house', ['Republicans vs democrats', 'War']), ('got', ['War', 'Republicans vs democrats']), ('entire', ['War', 'Republicans vs democrats']), ('megan', ['News/radio/livestream']), ('cheering', ['War'])]"
POTUS,2023-10-19 00:45:16+00:00,2,War,0.3343911,negative,0.6389303207397461,optimism,0.6345040202140808,6.0,Election/debate,0.3152908,The terrorists will not win. Freedom will win. https://t.co/asmfbqbCm5,terrorist win freedom win,"[('freedom', [7, 2]), ('terrorist', [2]), ('win', [6, 2])]","[('freedom', ['Abortion/rights/guns', 'War']), ('terrorist', ['War']), ('win', ['Election/debate', 'War'])]"
POTUS,2023-10-18 16:19:28+00:00,2,War,0.54225445,positive,0.6312206387519836,optimism,0.9535264372825624,5.0,Border/community/family,0.3894555,I have come to Israel with a simple message: You are not alone. As long as the United States stands – and we will stand forever – you will not be alone.,come israel simple message long united state stand stand forever,"[('come', [5, 2]), ('state', [5, 2]), ('united', [5, 2]), ('israel', [2, 5]), ('long', [5, 2]), ('simple', [2]), ('message', [2, 5]), ('stand', [2, 5]), ('forever', [5, 2])]","[('come', ['Border/community/family', 'War']), ('state', ['Border/community/family', 'War']), ('united', ['Border/community/family', 'War']), ('israel', ['War', 'Border/community/family']), ('long', ['Border/community/family', 'War']), ('simple', ['War']), ('message', ['War', 'Border/community/family']), ('stand', ['War', 'Border/community/family']), ('forever', ['Border/community/family', 'War'])]"
