username,date,first_topic,first_topic_name,first_topic_prob,sentiment,sentiment_prob,emotion,emotion_prob,second_topic,second_topic_name,second_topic_prob,text,lemmatized_text,per_word_topics,per_word_topics_name
marwilliamson,2023-06-07 09:41:29+00:00,6,Election/debate,0.31983256,negative,0.8900640606880188,anger,0.7502651810646057,2.0,War,0.20312832,"RT @BREAKING: We just fully shut down Senator Joe Manchin's keynote address. He is shoving a 2,000,000,000 cubic-foot-per-day fracked gas pipeline down our throats. Manchin is not a moderate. Manchin is an ecocidal millionaire. We must resist him with all we've got. And we will. https://t.co/xd8CmKwsHL",fully shut senator joe manchin  keynote address shoving cubic foot day fracked gas pipeline throat manchin moderate manchin ecocidal millionaire resist got,"[('joe', [4, 2]), ('day', [6, 4]), ('got', [6, 2]), ('gas', [1, 8]), ('foot', [6, 8]), ('senator', [6, 4]), ('address', [8, 1]), ('shut', [2, 4]), ('fully', [1, 8]), ('pipeline', [8]), ('throat', [2, 6]), ('moderate', [2, 4]), ('resist', [4]), ('keynote', [2]), ('cubic', [8, 2]), ('fracked', [8, 2]), ('millionaire', [8]), ('manchin', [6, 2]), ('ecocidal', [2, 6]), ('shoving', [6])]","[('joe', ['Republicans vs democrats', 'War']), ('day', ['Election/debate', 'Republicans vs democrats']), ('got', ['Election/debate', 'War']), ('gas', ['American/economics/health', 'Infrastructure/job/energy']), ('foot', ['Election/debate', 'Infrastructure/job/energy']), ('senator', ['Election/debate', 'Republicans vs democrats']), ('address', ['Infrastructure/job/energy', 'American/economics/health']), ('shut', ['War', 'Republicans vs democrats']), ('fully', ['American/economics/health', 'Infrastructure/job/energy']), ('pipeline', ['Infrastructure/job/energy']), ('throat', ['War', 'Election/debate']), ('moderate', ['War', 'Republicans vs democrats']), ('resist', ['Republicans vs democrats']), ('keynote', ['War']), ('cubic', ['Infrastructure/job/energy', 'War']), ('fracked', ['Infrastructure/job/energy', 'War']), ('millionaire', ['Infrastructure/job/energy']), ('manchin', ['Election/debate', 'War']), ('ecocidal', ['War', 'Election/debate']), ('shoving', ['Election/debate'])]"
marwilliamson,2023-08-26 04:23:33+00:00,6,Election/debate,0.8539006,negative,0.8718135356903076,anger,0.6850106716156006,2.0,War,0.020907013,"Genuinely ridiculous. (No, they did not interview anyone else before making their endorsement)",genuinely ridiculous interview making endorsement,"[('interview', [6]), ('making', [6]), ('ridiculous', [6]), ('genuinely', [6]), ('endorsement', [6])]","[('interview', ['Election/debate']), ('making', ['Election/debate']), ('ridiculous', ['Election/debate']), ('genuinely', ['Election/debate']), ('endorsement', ['Election/debate'])]"
marwilliamson,2023-08-26 07:18:25+00:00,6,Election/debate,0.54278153,negative,0.840295672416687,anger,0.5790194272994995,2.0,War,0.28833443,"Strict signature verification laws are a tactic used by Republicans to suppress the vote – especially poor voters and voters of color – and the laws have been condemned by Democrats, including the Georgia Democratic Party. Yet now the Democrats are using the same tactics to suppress democracy in Atlanta. Stop Cop City! https://t.co/6uFpPH65rs",strict signature verification law tactic republican suppress vote especially poor voter voter color law condemned democrat including georgia democratic party democrat tactic suppress democracy atlanta stop cop city,"[('democracy', [6, 2]), ('condemned', [2]), ('law', [8, 2]), ('vote', [6, 2]), ('republican', [6, 2]), ('city', [6, 2]), ('party', [6, 2]), ('especially', [6, 2]), ('democrat', [6, 2]), ('including', [6, 8]), ('stop', [2, 6]), ('tactic', [2]), ('signature', [8]), ('democratic', [6, 2]), ('voter', [6, 2]), ('color', [6, 8]), ('georgia', [6]), ('atlanta', [6, 2]), ('poor', [2, 6]), ('cop', [2, 6]), ('verification', [6]), ('suppress', [6]), ('strict', [8])]","[('democracy', ['Election/debate', 'War']), ('condemned', ['War']), ('law', ['Infrastructure/job/energy', 'War']), ('vote', ['Election/debate', 'War']), ('republican', ['Election/debate', 'War']), ('city', ['Election/debate', 'War']), ('party', ['Election/debate', 'War']), ('especially', ['Election/debate', 'War']), ('democrat', ['Election/debate', 'War']), ('including', ['Election/debate', 'Infrastructure/job/energy']), ('stop', ['War', 'Election/debate']), ('tactic', ['War']), ('signature', ['Infrastructure/job/energy']), ('democratic', ['Election/debate', 'War']), ('voter', ['Election/debate', 'War']), ('color', ['Election/debate', 'Infrastructure/job/energy']), ('georgia', ['Election/debate']), ('atlanta', ['Election/debate', 'War']), ('poor', ['War', 'Election/debate']), ('cop', ['War', 'Election/debate']), ('verification', ['Election/debate']), ('suppress', ['Election/debate']), ('strict', ['Infrastructure/job/energy'])]"
marwilliamson,2023-06-16 02:24:17+00:00,6,Election/debate,0.45282343,neutral,0.8440845012664795,anger,0.4376346468925476,2.0,War,0.3742961,"Aid given to Israel must come with the explicit instruction that it not be used in a way that infringes on the human rights of Palestinians. As President, I will make sure of it. This week's Firelight Chat was my discussion on the Israel/Palestine situation with J-Street’s @JoshLockman and Palestinian-American political analyst @OmarBaddar. https://t.co/gnswxugu1D Stay tuned for next week’s episode - a conversation about the Military-Industrial-Complex with journalist @stephensemler.",aid given israel come explicit instruction way infringes human right palestinian president sure week  firelight chat discussion israel palestine situation  street palestinian american political analyst stay tuned week episode conversation military industrial complex journalist,"[('come', [6, 2]), ('american', [2, 6]), ('military', [7, 2]), ('situation', [2, 6]), ('street', [2, 6]), ('way', [6, 2]), ('week', [6, 7]), ('israel', [2]), ('palestinian', [2]), ('political', [2, 6]), ('aid', [2]), ('palestine', [2]), ('president', [6, 2]), ('journalist', [6]), ('discussion', [6]), ('right', [7, 2]), ('stay', [6, 2]), ('conversation', [6]), ('sure', [6, 2]), ('human', [2, 7]), ('given', [2, 6]), ('episode', [6]), ('industrial', [7]), ('analyst', [2]), ('complex', [7, 6]), ('chat', [6]), ('explicit', [7]), ('tuned', [6]), ('instruction', [6]), ('firelight', [6]), ('infringes', [2, 6])]","[('come', ['Election/debate', 'War']), ('american', ['War', 'Election/debate']), ('military', ['Abortion/rights/guns', 'War']), ('situation', ['War', 'Election/debate']), ('street', ['War', 'Election/debate']), ('way', ['Election/debate', 'War']), ('week', ['Election/debate', 'Abortion/rights/guns']), ('israel', ['War']), ('palestinian', ['War']), ('political', ['War', 'Election/debate']), ('aid', ['War']), ('palestine', ['War']), ('president', ['Election/debate', 'War']), ('journalist', ['Election/debate']), ('discussion', ['Election/debate']), ('right', ['Abortion/rights/guns', 'War']), ('stay', ['Election/debate', 'War']), ('conversation', ['Election/debate']), ('sure', ['Election/debate', 'War']), ('human', ['War', 'Abortion/rights/guns']), ('given', ['War', 'Election/debate']), ('episode', ['Election/debate']), ('industrial', ['Abortion/rights/guns']), ('analyst', ['War']), ('complex', ['Abortion/rights/guns', 'Election/debate']), ('chat', ['Election/debate']), ('explicit', ['Abortion/rights/guns']), ('tuned', ['Election/debate']), ('instruction', ['Election/debate']), ('firelight', ['Election/debate']), ('infringes', ['War', 'Election/debate'])]"
marwilliamson,2023-07-20 01:19:33+00:00,6,Election/debate,0.50265,negative,0.94572776556015,anger,0.5991499423980713,5.0,Border/community/family,0.27888253,"Minimizing slavery is as offensive as minimizing the Holocaust. We should never do it, and we shouldn’t be OK with Florida doing it either. It is a disservice to our ancestors, a disservice to our children, and a disservice to our future. https://t.co/eHQr4hu9tt",minimizing slavery offensive minimizing holocaust  florida disservice ancestor disservice child disservice future,"[('child', [5]), ('future', [6, 5]), ('florida', [6, 4]), ('slavery', [5]), ('offensive', [6]), ('minimizing', [4]), ('holocaust', [5]), ('disservice', [6]), ('ancestor', [6])]","[('child', ['Border/community/family']), ('future', ['Election/debate', 'Border/community/family']), ('florida', ['Election/debate', 'Republicans vs democrats']), ('slavery', ['Border/community/family']), ('offensive', ['Election/debate']), ('minimizing', ['Republicans vs democrats']), ('holocaust', ['Border/community/family']), ('disservice', ['Election/debate']), ('ancestor', ['Election/debate'])]"
marwilliamson,2023-09-17 06:33:36+00:00,6,Election/debate,0.49380675,neutral,0.5259775519371033,anger,0.5952204465866089,1.0,American/economics/health,0.3293633,"A major way to help defeat the drug cartels is to dry up their market. End the War on Drugs. Decriminalize, then legalize and regulate. 1/3",major way help defeat drug cartel dry market end war drug decriminalize legalize regulate,"[('war', [5, 1]), ('way', [6, 1]), ('help', [1, 6]), ('drug', [1, 5]), ('end', [1, 6]), ('major', [6, 1]), ('defeat', [6]), ('market', [1, 6]), ('dry', [6]), ('cartel', [5]), ('legalize', [6]), ('decriminalize', [6]), ('regulate', [6])]","[('war', ['Border/community/family', 'American/economics/health']), ('way', ['Election/debate', 'American/economics/health']), ('help', ['American/economics/health', 'Election/debate']), ('drug', ['American/economics/health', 'Border/community/family']), ('end', ['American/economics/health', 'Election/debate']), ('major', ['Election/debate', 'American/economics/health']), ('defeat', ['Election/debate']), ('market', ['American/economics/health', 'Election/debate']), ('dry', ['Election/debate']), ('cartel', ['Border/community/family']), ('legalize', ['Election/debate']), ('decriminalize', ['Election/debate']), ('regulate', ['Election/debate'])]"
marwilliamson,2023-10-05 20:28:03+00:00,6,Election/debate,0.5765484,negative,0.9286203384399414,anger,0.5772492289543152,2.0,War,0.26404455,This is everything the Democratic Party should *not* stand for. In fact it’s everything the Democratic Party should stand against. Dems will not win in 2024 by imitating Trump.,democratic party stand fact democratic party stand dems win imitating trump,"[('trump', [6, 2]), ('fact', [2, 6]), ('party', [6, 2]), ('dems', [6, 2]), ('win', [6, 2]), ('stand', [2, 6]), ('democratic', [6, 2]), ('imitating', [8])]","[('trump', ['Election/debate', 'War']), ('fact', ['War', 'Election/debate']), ('party', ['Election/debate', 'War']), ('dems', ['Election/debate', 'War']), ('win', ['Election/debate', 'War']), ('stand', ['War', 'Election/debate']), ('democratic', ['Election/debate', 'War']), ('imitating', ['Infrastructure/job/energy'])]"
marwilliamson,2023-08-10 16:15:21+00:00,6,Election/debate,0.33750367,negative,0.8270237445831299,anger,0.8817312121391296,4.0,Republicans vs democrats,0.27371678,"Far right extremists want to do more than deny children knowledge of our history; they actually want to replace it with a revised version. New Hampshire parents are upset about this for a reason. Stand strong, New Hampshire. I’m with you.",far right extremist want deny child knowledge history actually want replace revised version hampshire parent upset reason stand strong hampshire,"[('reason', [6, 4]), ('right', [7, 6]), ('upset', [2, 6]), ('far', [6, 4]), ('history', [6, 1]), ('actually', [6, 4]), ('child', [1, 2]), ('parent', [1, 4]), ('want', [6, 4]), ('stand', [7, 6]), ('replace', [4]), ('revised', [6]), ('hampshire', [6, 1]), ('version', [4, 6]), ('strong', [6, 1]), ('knowledge', [4]), ('deny', [4, 1]), ('extremist', [7, 4])]","[('reason', ['Election/debate', 'Republicans vs democrats']), ('right', ['Abortion/rights/guns', 'Election/debate']), ('upset', ['War', 'Election/debate']), ('far', ['Election/debate', 'Republicans vs democrats']), ('history', ['Election/debate', 'American/economics/health']), ('actually', ['Election/debate', 'Republicans vs democrats']), ('child', ['American/economics/health', 'War']), ('parent', ['American/economics/health', 'Republicans vs democrats']), ('want', ['Election/debate', 'Republicans vs democrats']), ('stand', ['Abortion/rights/guns', 'Election/debate']), ('replace', ['Republicans vs democrats']), ('revised', ['Election/debate']), ('hampshire', ['Election/debate', 'American/economics/health']), ('version', ['Republicans vs democrats', 'Election/debate']), ('strong', ['Election/debate', 'American/economics/health']), ('knowledge', ['Republicans vs democrats']), ('deny', ['Republicans vs democrats', 'American/economics/health']), ('extremist', ['Abortion/rights/guns', 'Republicans vs democrats'])]"
marwilliamson,2023-08-14 22:32:50+00:00,6,Election/debate,0.5530905,neutral,0.5207611918449402,anger,0.5400080680847168,1.0,American/economics/health,0.321593,They should only be listing the names of people who are running. There is a reason they don’t…,listing name people running reason,"[('people', [1, 6]), ('reason', [6, 1]), ('running', [6, 1]), ('listing', [1]), ('name', [6])]","[('people', ['American/economics/health', 'Election/debate']), ('reason', ['Election/debate', 'American/economics/health']), ('running', ['Election/debate', 'American/economics/health']), ('listing', ['American/economics/health']), ('name', ['Election/debate'])]"
marwilliamson,2023-07-17 20:04:49+00:00,6,Election/debate,0.36109474,neutral,0.6707380414009094,anger,0.4293503761291504,8.0,Infrastructure/job/energy,0.2814292,".@RoKhanna describes his political vision, then explains endorsing someone who slowwalks it to the point of blocking it. DEBATE: Krystal &amp; Kyle PRESS Ro Khanna On Biden | Krystal Kyle &amp; Friends... https://t.co/eIlmzMPJzl via @YouTube",describes political vision explains endorsing slowwalks point blocking debate krystal kyle press  khanna biden krystal kyle friend,"[('biden', [4, 6]), ('political', [6, 4]), ('press', [6, 4]), ('point', [6, 4]), ('debate', [6, 4]), ('blocking', [8]), ('friend', [6, 2]), ('explains', [6, 2]), ('kyle', [8]), ('vision', [6, 8]), ('describes', [8]), ('khanna', [4]), ('endorsing', [6]), ('krystal', [2]), ('slowwalks', [8, 6])]","[('biden', ['Republicans vs democrats', 'Election/debate']), ('political', ['Election/debate', 'Republicans vs democrats']), ('press', ['Election/debate', 'Republicans vs democrats']), ('point', ['Election/debate', 'Republicans vs democrats']), ('debate', ['Election/debate', 'Republicans vs democrats']), ('blocking', ['Infrastructure/job/energy']), ('friend', ['Election/debate', 'War']), ('explains', ['Election/debate', 'War']), ('kyle', ['Infrastructure/job/energy']), ('vision', ['Election/debate', 'Infrastructure/job/energy']), ('describes', ['Infrastructure/job/energy']), ('khanna', ['Republicans vs democrats']), ('endorsing', ['Election/debate']), ('krystal', ['War']), ('slowwalks', ['Infrastructure/job/energy', 'Election/debate'])]"
